Date,AAPL,AXP,BA,CAT,CVX,CSCO,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM,DOW,NASD,NASD100,SP500
1/3/2006,9.607041,43.571777,52.874599,41.903976,39.081493,14.541892,27.562082,20.452112,23.514647,112.721214,30.70224,63.418877,17.94628,43.682934,29.873466,14.513106,23.609877,58.797718,21.037241,20.450724,9.217442,14.62317,41.786373,34.546204,54.937565,43.332935,NA,15.359854,35.225677,43.108406,10847.41016,2243.73999,1679.930054,1268.800049
1/4/2006,9.635316,43.148186,53.422573,42.969688,38.969044,14.875236,27.408464,20.108456,23.481394,111.164253,30.13644,63.333824,18.18491,44.356289,29.701059,14.484717,23.821182,58.500446,21.281343,20.549782,9.174545,15.096659,41.86459,34.929279,55.071056,43.072311,NA,15.809826,35.294258,43.18214,10880.15039,2263.459961,1695.829956,1273.459961
1/5/2006,9.559486,43.604988,52.792042,42.969688,38.492752,15.291906,27.357252,20.460499,23.421562,111.12056,29.838655,63.758892,18.437572,44.171986,29.791012,14.55569,23.849358,57.965286,21.313457,20.56502,9.230311,15.115112,41.729504,35.267311,54.901951,42.911335,NA,15.991838,34.814213,42.96833,10882.15039,2276.870117,1705.290039,1273.47998
1/6/2006,9.806251,43.754498,52.056404,43.825165,39.193954,15.641912,27.472471,20.737104,23.581123,112.694977,30.062004,65.652336,18.465649,44.370468,30.000916,14.694081,23.990217,58.440975,21.274904,20.504061,9.201356,15.281144,41.686859,35.462616,55.978821,43.049313,NA,16.055862,34.959003,43.816208,10959.30957,2305.620117,1734.98999,1285.449951
1/9/2006,9.774118,44.842541,51.621037,44.622646,38.995491,15.883586,27.312452,20.955038,23.521292,114.050797,30.389563,64.709503,18.577944,44.646885,30.488176,14.765049,24.448051,58.73085,21.621788,20.465967,9.330048,15.281144,41.999653,35.477634,54.643867,43.539902,NA,16.122438,34.829456,43.794083,11011.90039,2318.689941,1741.900024,1290.150024
1/10/2006,10.392313,44.709652,51.868763,44.441395,39.187347,15.80858,27.235634,21.223263,23.394979,115.485237,31.11915,64.972275,18.3323,44.724869,30.533171,14.779243,24.469187,58.366627,21.409807,20.572639,9.349351,15.029023,41.836143,35.222237,55.720734,43.570568,NA,16.189022,34.943748,44.133224,11011.58008,2320.320068,1744.02002,1289.689941
1/11/2006,10.783021,44.4688,52.619392,44.46315,39.584236,16.166924,26.333115,21.424427,23.554529,115.432747,31.975307,65.049515,18.346336,44.299591,30.510679,14.786332,24.891796,58.247738,21.493319,20.793604,9.362217,15.219652,41.985432,35.793129,55.044353,42.911335,NA,16.383636,35.484749,44.435505,11043.44043,2331.360107,1758.23999,1294.180054
1/12/2006,10.833144,44.477089,52.311638,45.101139,39.617321,16.000256,25.75704,21.491486,23.268663,115.677704,31.67749,64.585846,18.227018,44.094036,29.948437,14.70472,24.504396,57.749771,21.506159,20.679312,9.256049,15.115112,41.523361,35.582794,55.649536,42.512726,NA,16.445095,34.852314,43.97102,10962.36035,2316.689941,1747.349976,1286.060059
1/13/2006,11.000223,44.385735,52.153996,45.188126,39.928211,15.766913,25.648226,21.541782,23.335136,116.561096,31.201042,64.276695,18.100681,43.817608,29.925947,14.6586,24.279013,57.601101,21.499746,20.717409,9.244254,15.170456,41.871685,35.492649,54.234489,42.666035,NA,16.480944,34.593254,44.951603,10959.87012,2317.040039,1746.780029,1287.609985
1/17/2006,10.887124,43.987061,51.560982,45.644878,40.920471,15.566912,25.571417,21.273554,23.228765,115.97509,30.94791,64.145309,17.911186,43.434864,29.76852,14.559237,24.363531,57.296391,21.332727,20.56502,9.13701,14.930632,41.693962,34.876709,54.287884,42.911335,NA,16.122438,34.250374,45.371841,10896.32031,2302.689941,1736.390015,1282.930054
