T,price
0.126,99.393
0.6219,96.924
1.126,94.511
1.6219,92.07
2.126,89.644
2.6219,87.295
3.126,84.949
3.6219,82.698
4.126,80.427
4.6219,78.293
5.126,76.121
5.6219,73.99
6.126,71.905
6.6219,69.984
7.126,67.769
7.6219,65.733
8.126,63.645
8.6219,61.707
9.126,59.828
9.6219,58.074
10.126,56.246
10.6219,54.528
11.126,52.793
11.6219,51.142
12.126,49.495
12.6219,47.932
13.126,46.378
13.6219,44.862
14.126,43.299
14.6219,41.856
15.126,40.449
15.6219,39.125
16.126,37.831
16.6219,36.589
17.126,35.37
17.6219,34.195
18.126,33.036
18.6219,31.926
19.126,30.864
0.3699,98.155
0.874,95.717
1.3699,93.215
1.874,90.852
2.3699,88.481
2.874,86.14
3.3699,83.797
3.874,81.549
4.3699,79.377
4.874,77.251
5.3699,75.033
5.874,72.927
6.3699,71.036
6.874,68.868
7.3699,66.735
7.874,64.715
8.3699,62.633
8.874,60.776
9.3699,58.932
9.874,57.22
10.3699,55.373
10.874,53.675
11.3699,51.976
11.874,50.338
12.3699,48.698
12.874,47.155
13.3699,45.619
13.874,44.121
19.6219,29.816
14.3699,42.576
15.3699,39.78
15.874,38.486
16.3699,37.209
16.874,35.984
17.3699,34.781
17.874,33.623
18.3699,32.48
18.874,31.403
19.3699,30.339
19.874,29.317
20.126,28.809
20.3699,28.314
20.6219,27.821
20.874,27.356
21.126,26.905
21.3699,26.476
21.6219,26.054
21.874,25.654
22.3699,24.841
22.874,24.08
14.874,41.151
23.126,23.69
23.3699,23.326
23.6219,22.964
23.874,22.611
24.126,22.275
24.3699,21.933
22.126,25.229
22.6219,24.456
24.6219,21.592
25.126,20.992
24.874,21.271
25.3699,20.695
25.6219,20.415
25.874,20.164
26.126,19.943
26.6219,19.462
26.874,19.217
27.126,19.082
26.3699,19.69
27.6219,18.583
27.3699,18.86
27.874,18.368
28.3699,17.941
28.874,17.455
29.126,17.264
28.126,18.164
28.6219,17.694
