T,price
0.25,99.01616554
0.88,96.62149388
1.52,93.6508879
2.15,90.78196609
2.79,88.22209794
3.42,85.06925292
4.06,81.63399486
4.69,77.98824319
5.33,74.17111033
5.96,71.39126298
6.6,68.16113669
7.23,64.64840268
7.87,61.78566773
8.5,58.07362634
9.13,55.40346743
9.77,52.31336093
10.4,49.22401186
11.04,46.96462271
11.67,43.46644314
12.31,40.99063205
12.94,38.57377701
13.58,35.78018292
14.21,33.902024
14.85,31.16183756
15.48,29.53564786
16.12,27.01432982
16.75,25.10272769
17.38,23.28236776
18.02,21.88204224
18.65,21.33021649
19.29,19.25519321
19.92,18.09081744
20.56,16.81127874
21.19,16.21094572
21.83,15.38266035
22.46,14.12958208
23.1,12.96912015
23.73,12.23019535
24.37,11.91003277
25,11.30444107
