"Brain" "Body" "Gestation"
9.6 2.2 31
9.9 0.78 98
4480 2800 655
20.3 2.8 104
219 89 218
53 6 60
210 66 158
124 16 183
28.5 3.2 65
500 250 240
45 25 128
200 39 180
9.9 0.7 135
40 20 128
76 30 123
288 110 225
456 520 280
360 45 230
5.25 0.43 110
0.68 0.027 23
0.63 0.026 23
0.52 0.017 24
0.69 0.024 24
70.2 8.5 63
1600 160 360
28.4 2.5 63
106 30 151
180 190 115
125 49 150
93 13 120
480 560 255
1.14 0.049 51
1.37 0.064 46
365 120 235
223 80 240
1.89 0.052 40
355 250 254
7.8 0.22 145
406 140 265
37.3 3.8 63
400 250 219
4.28 0.97 67
183 21 180
0.67 0.036 21
1.12 0.13 16
442 110 240
3.5 0.93 34
590 1400 240
1.18 0.15 27
712 480 330
0.45 0.024 19
54 7.7 139
1300 65 270
20.5 3.8 225
13.3 2.9 41
31.2 2 77
65.5 5.8 168
22 2.1 135
157 46 92
260 180 108
225 93 330
12 3.7 120
75 12 60
23 5 132
343 37 270
37 11 112
37 14 112
24 6.6 113
537 56 270
1.04 0.065 21
260 150 205
17.5 3.5 26
41.6 5.3 63
0.72 0.05 23
2.38 0.34 21
435 200 255
48 6 52
84.6 6 175
107 8.7 165
73 3.7 180
383 120 246
363 100 343
12.8 1.2 90
114 9.1 140
109 7.7 140
250 230 390
302 210 104
3.15 0.15 46
6.23 0.33 38
67 4.6 195
198 45 300
550 400 310
179 32 180
102 5.5 210
185 150 120
334 250 255
