CITY,MORT,PRECIP,EDUC,NONWHITE,NOX,SO2
"Wichita, KS",823.7639771,28,12.10000038,7.5,2,1
"Lancaster, PA",844.0529785,43,9.5,2.900000095,7,32
"Minneapolis, MN",857.6220093,25,12.10000038,2,11,26
"Dallas, TX",860.1010132,35,11.80000019,14.80000019,1,1
"Miami, FL",861.4390259,60,11.5,13.5,1,1
"Grand Rapids, MI",871.3380127,31,10.89999962,5.099999905,3,10
"Denver, CO",871.7659912,15,12.19999981,4.699999809,8,28
"Rochester, NY",874.2810059,32,11.10000038,5,4,18
"Hartford, CT",887.4660034,43,11.5,7.199999809,3,10
"Fort Worth, TX",891.7080078,31,11.39999962,11.5,1,1
"Portland, OR",893.9910278,37,12,3.599999905,21,44
"Worcester, MA",895.6959839,45,11.10000038,1,3,8
"Seattle, WA",899.2639771,35,12.19999981,5.699999809,7,20
"Bridgeport, CT",899.5289917,45,10.60000038,5.300000191,4,4
"Springfield, MA",904.1550293,45,11.10000038,3.400000095,4,20
"York, PA",911.8170166,42,9,4.800000191,8,49
"Utica, NY",912.2020264,40,10.30000019,2.5,2,11
"Canton, OH",912.3469849,36,10.69999981,6.699999809,7,20
"Kansas City, MO",919.7290039,35,12,12.60000038,4,4
"Akron, OH",921.8699951,36,11.39999962,8.800000191,15,59
"New Haven, CT",923.2340088,46,11.30000019,8.800000191,3,8
"Milwaukee, WI",929.1500244,30,11.10000038,5.800000191,23,125
"Boston, MA",934.7000122,43,12.10000038,3.5,32,62
"Dayton, OH",936.2340088,36,11.39999962,12.39999962,4,16
"Providence, RI",938.5,42,10.10000038,2.200000048,4,18
"Flint, MI",941.1810303,30,10.80000019,13.10000038,4,11
"Reading, PA",946.1849976,41,9.600000381,2.700000048,11,89
"Syracuse, NY",950.6719971,38,11.39999962,3.799999952,5,25
"Houston, TX",952.5289917,46,11.39999962,21,5,1
"Saint Louis, MO",953.5599976,34,9.699999809,17.20000076,15,68
"Youngstown, OH",954.4420166,38,10.69999981,11.69999981,13,39
"Columbus, OH",958.8389893,37,11.89999962,13.10000038,9,15
"Detroit, MI",959.2210083,31,10.80000019,15.80000019,35,124
"Nashville, TN",961.0089722,45,10.10000038,21,14,78
"Allentown, PA",962.3540039,44,9.800000191,0.800000012,6,33
"Washington, DC",967.8029785,41,12.30000019,25.89999962,28,102
"Indianapolis, IN",968.664978,39,11.39999962,15.60000038,7,33
"Cincinnati, OH",970.46698,40,10.19999981,13,26,146
"Greeensboro, NC",971.1220093,42,10.39999962,22.70000076,3,5
"Toledo, OH",972.4639893,31,10.69999981,9.5,7,25
"Atlanta, GA",982.2910156,47,11.10000038,27.10000038,8,24
"Cleveland, OH",985.9500122,35,11.10000038,14.69999981,21,64
"Louisville, KY",989.2650146,30,9.899999619,13.10000038,37,193
"Pittsburgh, PA",991.289978,36,10.60000038,8.100000381,59,263
"New York, NY",994.6480103,42,10.69999981,11.30000019,26,108
"Albany, NY",997.875,35,11,3.5,10,39
"Buffalo, NY",1001.901978,36,10.5,8.100000381,12,37
"Wilmington, DE",1003.502014,45,11.30000019,12.10000038,11,42
"Memphis, TN",1006.48999,50,10.39999962,36.70000076,18,34
"Philadelphia, PA",1015.02301,42,10.5,17.5,32,161
"Chattanooga, TN",1017.612976,52,9.600000381,22.20000076,8,27
"Chicago, IL",1024.88501,33,10.89999962,16.29999924,63,278
"Richmond, VA",1025.501953,44,11,28.60000038,9,48
"Birmingham, AL",1030.380005,53,10.19999981,38.5,32,72
"Baltimore, MD",1071.28894,43,9.600000381,24.39999962,38,206
