Rank,Item Name,Price,Star Points,5 Star %,4 Star %,3 Star %,2 Star %,1 Star %,Reviews,Questions,Webpage
1,Baby Einstein Take Along Tunes Musical Toy,7.74,4.7,82,11,4,1,2,9484,87,https://www.amazon.com/Baby-Einstein-Along-Tunes-Musical/dp/B000YDDF6O
2,"Fisher-Price Kick & Play Piano Gym, Blue/Green",24.79,4.7,83,10,3,1,3,2393,90,https://www.amazon.com/Fisher-Price-Kick-Play-Piano-Green/dp/B00F2MQDU2
3,Fisher-Price Brilliant Basics Baby's First Blocks,7.88,4.6,75,14,6,2,3,3672,45,https://www.amazon.com/Fisher-Price-Brilliant-Basics-Babys-Blocks/dp/B000LSZVKA
4,VTech Baby Rattle and Sing Puppy,6.79,4.4,73,12,7,4,4,268,4,https://www.amazon.com/VTech-Baby-Rattle-Sing-Puppy/dp/B019ICFYNI
5,VTech Touch and Swipe Baby Phone,14.99,3.6,47,14,11,11,17,2381,53,https://www.amazon.com/VTech-Touch-Swipe-Baby-Phone/dp/B00CS16EJU
6,VTech KidiBeats Drum Set (Frustration Free Packaging),17.89,4.3,66,15,9,4,6,2045,48,https://www.amazon.com/VTech-KidiBeats-Drum-Frustration-Packaging/dp/B071Y71Y3J
7,LeapFrog Musical Rainbow Tea Set,19.89,4.8,83,10,4,1,2,833,21,https://www.amazon.com/LeapFrog-Musical-Rainbow-Tea-Set/dp/B00CCIKII2
8,VTech Busy Learners Activity Cube,13.88,4.7,80,11,4,3,2,1279,34,https://www.amazon.com/VTech-Busy-Learners-Activity-Cube/dp/B00HD3T1QQ
9,VTech Baby Lil' Critters Roll and Discover Ball,11.99,4.4,67,14,10,2,7,179,20,https://www.amazon.com/VTech-Baby-Critters-Roll-Discover/dp/B00U2TP9G4
10,"VTech Little Apps Tablet, Pink",13.62,4.4,69,18,6,3,4,1134,62,https://www.amazon.com/VTech-Little-Apps-Tablet-Pink/dp/B00CMNX5YG
11,"VTech Move and Crawl Baby Ball, Orange (Frustration Free Packaging)",14.99,4.3,58,17,11,6,8,1357,24,https://www.amazon.com/VTech-Crawl-Orange-Frustration-Packaging/dp/B00FD3PVXA
12,VTech Rhyme and Discover Book,14.99,4.6,72,16,6,3,3,1545,41,https://www.amazon.com/VTech-Rhyme-and-Discover-Book/dp/B00FEJPCNC
13,VTech Click and Count Remote,9.94,4.3,61,17,9,7,6,650,14,https://www.amazon.com/VTech-Click-and-Count-Remote/dp/B00GYBEF3C
14,VTech Spin and Learn Color Flashlight,12.89,4.4,64,15,10,5,6,1985,31,https://www.amazon.com/VTech-Spin-Learn-Color-Flashlight/dp/B007XVYPS2
15,Munchkin Mozart Magic Cube,22.99,4.6,75,14,6,2,3,523,21,https://www.amazon.com/Munchkin-15949-Mozart-Magic-Cube/dp/B00HQ0WAJG
16,Fisher-Price Bright Beats Smart Touch Play Space,45.99,4.1,61,14,10,7,8,727,57,https://www.amazon.com/Fisher-Price-Bright-Beats-Smart-Touch/dp/B00VJKT0QU
17,Potato Head Playskool Mr.Potato Head Tater Tub Set,15.25,4.4,68,16,9,5,2,430,16,https://www.amazon.com/Potato-Head-Playskool-Mr-Potato-Tater/dp/B00BBVYYXG
18,Playhut Thomas the Train Play Vehicle,29.84,4.3,66,15,9,4,6,1039,42,https://www.amazon.com/Playhut-Thomas-Train-Play-Vehicle/dp/B0065KZEZU
19,VTech Baby Babble and Rattle Microphone,10.39,4.2,66,15,9,6,4,251,13,https://www.amazon.com/VTech-Baby-Babble-Rattle-Microphone/dp/B019ICFZRI
20,Melissa & Doug Band-in-a-Box Clap! Clang! Tap! - 10-Piece Musical Instrument Set,19.99,4.4,63,15,8,6,8,954,14,https://www.amazon.com/Melissa-Doug-Band-Box-Clang/dp/B00005RF5C
21,"Hohner Kids Mini Rainmaker, 8 Inch",11.19,4.4,65,20,9,3,3,263,8,https://www.amazon.com/Hohner-Kids-Mini-Rainmaker-Inch/dp/B000CBURPU
22,Baby Einstein Discovering Music Activity Table,34.99,4.4,57,19,11,6,7,463,20,https://www.amazon.com/Baby-Einstein-Discovering-Music-Activity/dp/B005P5D7G4
23,"VTech Tote and Go Laptop, Orange",14.42,4.1,54,19,10,6,11,237,28,https://www.amazon.com/VTech-Tote-Go-Laptop-Orange/dp/B00K89KU4Y
24,Fisher-Price Poppity-Pop Musical Dino,30.72,4.2,60,17,10,5,8,1041,36,https://www.amazon.com/Fisher-Price-W1392-Poppity-Pop-Musical-Dino/dp/B004ORV2O8
25,"VTech Little Apps Tablet, Black",14.97,4.4,69,18,6,3,4,1134,62,https://www.amazon.com/VTech-Little-Apps-Tablet-Black/dp/B00AITW5J2
26,VTech Baby Adora-birdie Activity Rattle,7.99,4.5,78,10,6,3,3,187,0,https://www.amazon.com/VTech-Baby-Adora-birdie-Activity-Rattle/dp/B019ICG5YK
27,Hohner 4 Piece Baby Band,17.65,4.6,77,14,6,1,2,419,8,https://www.amazon.com/Hohner-4-Piece-Baby-Band/dp/B000RGP4ZS
28,VTech Baby Shake and Sing Elephant Rattle,7.96,4.4,71,12,11,4,2,110,0,https://www.amazon.com/VTech-Baby-Shake-Elephant-Rattle/dp/B019ICFWKS
29,Fisher Price Classic Record Player,29.95,3.5,43,10,10,11,26,551,31,https://www.amazon.com/Fisher-Price-Classic-Record-Player/dp/B003CGVCXS
30,ThinkMax Kids Voice Changing and Recording Microphone with Colorful Light Musical Toys,11.99,4.4,74,14,4,2,6,83,4,https://www.amazon.com/ThinkMax-Changing-Recording-Microphone-Colorful/dp/B01N76O2E9
31,Fisher-Price Laugh & Learn Singin Soccer Ball,17,4.3,66,15,9,6,4,674,16,https://www.amazon.com/Fisher-Price-Laugh-Learn-Singin-Soccer/dp/B00F6N0YNE
32,Thomas Wood Whistle,6.05,4.1,56,19,11,7,7,235,0,https://www.amazon.com/Schylling-TWW-Thomas-Wood-Whistle/dp/B000067PWV
33,VTech Call and Chat Learning Phone,11.89,4.3,63,17,9,4,7,688,56,https://www.amazon.com/VTech-Call-Chat-Learning-Phone/dp/B00H8OINX2
34,VTech Go! Go! Smart Wheels 3-in-1 Launch and Play Raceway,12.97,4.2,63,11,11,6,8,142,10,https://www.amazon.com/VTech-Smart-Wheels-Launch-Raceway/dp/B00R5MPDQM
35,VTech Go! Go! Smart Wheels Spinning Spiral Tower Playset,/---,4.3,64,18,9,3,6,370,28,https://www.amazon.com/VTech-Wheels-Spinning-Spiral-Playset/dp/B00K89KPFS
36,Mirari Pop! Pop! Piano,24.2,4.2,57,16,9,10,8,203,7,https://www.amazon.com/PlayMonster-7942-Mirari-Pop-Piano/dp/B00E0NNV8G
37,Educational Insights Eggspert,34,4.3,68,18,5,5,4,238,18,https://www.amazon.com/Educational-Insights-7883-Eggspert/dp/B001SN8DE8
38,"EverEarth Garden Activity Cube. Wood Shape & Color Sorter, Bead Maze & Counting Baby Toy",89.99,4.5,66,22,5,4,3,233,39,https://www.amazon.com/EverEarth-Garden-Activity-Sorter-Counting/dp/B0050UF5BY
39,Baby Einstein Baby Neptune Ocean Orchestra Musical Toy,13.27,4.5,77,12,6,3,2,429,24,https://www.amazon.com/Baby-Einstein-Neptune-Orchestra-Musical/dp/B004G8QSY4
40,Step2 2-in-1 Toy Box and Art Lid,42.49,4.6,72,19,5,2,2,393,23,https://www.amazon.com/Step2-Toy-Box-Art-Lid/dp/B00MWN6WZA
41,Kids Mini Band Musical Instruments Rhythm Xylophone Set for Percussion Toy(14psc),36,4.6,88,0,0,12,0,8,3,https://www.amazon.com/Musical-Instruments-Rhythm-Xylophone-Percussion/dp/B06ZXRKGB2
