Rank,Item Name,Price,Star Points,5 Star %,4 Star %,3 Star %,2 Star %,1 Star %,Reviews,Questions,Webpage
1,"Honeywell HCM350W Germ Free Cool Mist Humidifier, White",63.74,3.7,51,17,9,8,15,3349,806,www.amazon.com/Honeywell-HCM350W-Germ-Humidifier-White/dp/B002QAYJPO
2,"URPOWER 500ml Aromatherapy Essential Oil Diffuser Humidifier Room Decor Lighting with 4 Timer Settings, 7 LED Color Changing Lamps and Waterless Auto Shut-off",23.99,4.6,81,9,3,2,5,8266,513,www.amazon.com/URPOWER-Aromatherapy-Essential-Humidifier-Waterless/dp/B0118QC1BA
3,"Vicks Warm Mist Humidifier with Auto Shut-Off, 1 Gallon, Model V745A",35.99,3.7,46,20,10,8,16,4174,360,www.amazon.com/Vicks-Humidifier-Shut-Off-Gallon-V745A/dp/B001FWXKTA
4,"MistAire Silver Ultrasonic Cool Mist Humidifier - Premium Humidifying Unit with Whisper-Quiet Operation, Automatic Shut-off, and Night Light Function",39.99,4.5,77,13,3,3,4,98,20,www.amazon.com/MistAire-Silver-Ultrasonic-Cool-Humidifier/dp/B073WJ5M1B
5,URPOWER 2nd Generation 300ml Aroma Essential Oil Diffuser Ultrasonic Air Humidifier with AUTO Shut off and 6-7 HOURS Continuous Diffusing - 7 Color Changing LED Lights and 4 Timer Settings,21.99,4.5,74,14,5,2,5,3141,227,www.amazon.com/URPOWER-Generation-Ultrasonic-Humidifier-Continuous/dp/B0118Q011M
6,"Aromatherapy Essential Oil Diffuser, URPOWER 300ml Wood Grain Ultrasonic Cool Mist Whisper-Quiet Humidifier with Color LED Lights Changing & 4 Timer Settings, Waterless Auto Shut-Off for Spa Baby",27.99,4.6,80,11,3,2,4,3172,177,www.amazon.com/Aromatherapy-URPOWER-Ultrasonic-Whisper-Quiet-Humidifier/dp/B014PBA7IY
7,"Essential Oil Diffuser, Mulcolor 250ml Wood Grain Aromatherapy Diffuser Ultrasonic Aroma Diffuser Cool Mist Humidifier with Low Water Auto Shut-off, 7 Color LED for Office Home Bedroom Study Yoga Spa",20.99,3.9,62,7,6,7,18,432,55,www.amazon.com/Essential-Mulcolor-Aromatherapy-Ultrasonic-Humidifier/dp/B073NZ8ZLM
8,"TaoTronics Cool Mist Humidifier with No Noise, LED Display, Ultrasonic Humidifiers for Home Bedroom, 4L/1.1 Gallon Capacity, Adjustable Mist Levels, Timer, Waterless Auto Shut-off, US 110V",64.99,4.4,71,14,4,4,7,2015,258,www.amazon.com/TaoTronics-Humidifier-Ultrasonic-Humidifiers-Adjustable/dp/B01JYIAUEY
9,Homeweeks 100ML Auto Off Ultrasonic diffuser LED Colorful Night-Ligting Aroma Mist Maker Home&Office Essential (D),15.99,4.2,72,8,4,4,12,340,46,www.amazon.com/Homeweeks-Ultrasonic-diffuser-Night-Ligting-Essential/dp/B01NBH66QV
10,"VicTsing 500ml Essential Oil Diffuser, Reduce Noise Design - Quieter, Longer Mist Output Time 7-14 Hours Ultrasonic Aroma Diffuser with Waterless Auto-off, 7-Color LED Soft Light for Home, Office",41.99,4.8,89,7,0,4,0,45,20,www.amazon.com/VicTsing-Essential-Diffuser-Reduce-Design/dp/B075L86GX4
11,"Everlasting Comfort Ultrasonic Humidifier (6L) - Built-in Oil Diffuser, High Mist Output, Adjustable Knob and 360 Deg. Nozzles. Ultra Quiet, Auto Shut Off, Night Light, Large Capacity",49.95,4.8,89,8,1,0,2,86,14,www.amazon.com/Everlasting-Comfort-Ultrasonic-Humidifier-Built/dp/B074MP9DK2
12,"Vicks Filter-free, Ultrasonic, Visible Cool Mist Humidifier for Medium rooms",36.47,4.2,57,14,6,7,16,364,85,www.amazon.com/Vicks-Filter-free-Ultrasonic-Visible-Humidifier/dp/B00F8MJXMG
13,"1000ml Essential Oil Diffuser Humidifiers Remote Control Ultrasonic Aromatherapy Diffusers Running 20 Hours with Adjustable Mist Mode,Water-less Auto Shut-Off & 7 Color LED Lights for Home",29.99,4.5,78,10,4,2,6,518,71,www.amazon.com/Humidifiers-Ultrasonic-Aromatherapy-Adjustable-Water-less/dp/B073F5QCFL
14,"URPOWER Essential Oil Diffuser, 400ml Wood Grain Aromatherapy Diffuser Ultrasonic Cool Mist Humidifier with Color LED Lights Changing and Waterless Auto Shut-off for Bedroom Office Home Baby Room Yoga",37.99,4.7,83,12,2,1,2,899,80,www.amazon.com/URPOWER-Essential-Aromatherapy-Ultrasonic-Humidifier/dp/B06WLH86FF
15,"Levoit Humidifiers Vaporizer, Warm and Cool Mist Ultrasonic Air Bedroom Humidifier with Remote, 6L Capacity for Large Room Home Babies with No Noise , Waterless Auto Shut-off",74.9,4.2,68,13,6,5,8,348,100,www.amazon.com/Humidifiers-Vaporizer-Ultrasonic-Humidifier-Waterless/dp/B01MYGNGKK
16,"Square Aromatherapy Essential Oil Diffuser Humidifier, 700ml Large Capacity Modern Ultrasonic Aroma Diffusers Running 20+ Hours 7 Color Changing for Home Office Bedroom Living Room Study Yoga Spa",25.99,4.7,84,9,2,1,4,926,88,www.amazon.com/Aromatherapy-Essential-Humidifier-Ultrasonic-Diffusers/dp/B06ZZLN6DP
17,"TaoTronics Ultrasonic Humidifiers, Cool Mist Humidifier for Home Bedroom with 3.5L/0.95 gallon Capacity, Two 360 Degree Rotatable Mist Outlets , Classic Dial Knob Control, US 110V",49.99,4.3,67,16,5,4,8,1216,122,www.amazon.com/TaoTronics-Ultrasonic-Humidifiers-Humidifier-Rotatable/dp/B01JYJT1E8
18,"VAVA Cool Mist Humidifier, 60oz/1.8L Space-Saving Ultrasonic Humidifiers for Bedroom Babies, Whisper-Quiet, Filter Free, Automatic Shut-off, 360 Degree Nozzle",31.99,4.1,65,13,4,5,13,121,34,www.amazon.com/VAVA-Humidifier-Space-Saving-Humidifiers-Whisper-Quiet/dp/B071G2NLLS
19,"URPOWER Essential Oil Diffuser Aromatherapy Diffuser Portable Ultrasonic Aroma Humidifier with 7 Color Changing LED Lamps, Mist Mode Adjustment and Waterless Auto Shut-off Function",18.95,4.5,76,13,4,3,4,4318,178,www.amazon.com/URPOWER-Aromatherapy-Ultrasonic-Humidifier-Adjustment/dp/B00Y2BGFIO
20,"URPOWER Essential Oil Diffuser, 200ml Wood Grain Aromatherapy Diffuser Ultrasonic Cool Mist Aroma Humidifier with Adjustable Mist Mode, Waterless Auto Shut-Off, 7 Color LED Lights & 4 Timer Settings",25.99,4.6,79,14,3,1,3,2848,187,www.amazon.com/URPOWER-Aromatherapy-Ultrasonic-Humidifier-Adjustable/dp/B01N20H4ZQ
21,URPOWER 200ml Aromatherapy Essential Oil Diffuser Humidifier with 7 Color LED Lights and Waterless Auto Shut-off- Wood Grain,19.99,4.6,79,14,3,1,3,2848,187,www.amazon.com/URPOWER-Aromatherapy-Essential-Humidifier-Waterless/dp/B017BJ9LFM
22,"MistAire XL Ultrasonic Cool Mist Humidifier for Large Rooms - 1-Gallon Water Tank with Variable Mist Control, Automatic Shut-Off, and Soft Night Light Options",47.99,4.4,74,13,4,3,6,705,86,www.amazon.com/MistAire-Ultrasonic-Humidifier-Large-Rooms/dp/B01M06T0RA
23,"Honeywell HCM350B Germ Free Cool Mist Humidifier, Black",64.99,3.8,56,17,8,6,13,361,67,www.amazon.com/Honeywell-HCM350B-Germ-Humidifier-Black/dp/B00FJTVHKO
24,"VicTsing 300ml Aroma Essential Oil Diffuser, Wood Grain Ultrasonic Cool Mist Humidifier for Office Home Bedroom Living Room Study Yoga Spa",26.99,4.6,78,11,4,3,4,1216,133,www.amazon.com/VicTsing-Essential-Diffuser-Ultrasonic-Humidifier/dp/B017CWXKDC
25,"Mynt Essential Oil Diffuser (100ml) With 7 LEDs, Customizable Light and Humidifying Mist 10+ Hours, BPA-Free & FDA Approved",17.99,5,100,0,0,0,0,6,3,www.amazon.com/Mynt-Essential-Diffuser-Customizable-Humidifying/dp/B075XR6SX3
26,"Ultrasonic Cool Mist Humidifier - Best Air Humidifiers for Bedroom / Living Room / Baby with Night Light - Whole House Solution - Large 3L Water Tank - Auto Shut Off & Filter-Free - Gift Box, GENIANI",39.97,4.6,79,14,1,3,3,153,33,www.amazon.com/Ultrasonic-Cool-Mist-Humidifier-Humidifiers/dp/B073D95BFK
27,Vicks Nursery 1 Gallon Vaporizer with Night-Light,14.99,3.5,40,15,10,12,23,588,57,www.amazon.com/Vicks-Nursery-Gallon-Vaporizer-Night-Light/dp/B00099YJH2
28,"Zookki 450ml Aromatherapy Essential Oil Diffuser with 8 LED Color Changing Lamps, Waterless Auto Shut-off and 4 Timer Settings Humidifier for Home",20.99,4.4,79,8,4,3,6,237,41,www.amazon.com/Zookki-Aromatherapy-Essential-Waterless-Humidifier/dp/B074SHSN7P
29,"Fancii Cool Mist Personal Mini Humidifier, USB or Battery Operated Portable Travel Humidifying Device for use with Water Bottles",24.99,4.2,68,13,5,4,10,826,80,www.amazon.com/Fancii-Personal-Humidifier-Operated-Humidifying/dp/B01I3Z33TS
30,Safety 1st 360 Cool Mist Ultrasonic Humidifier,21.99,4,51,19,6,7,17,161,35,www.amazon.com/Safety-1st-Cool-Ultrasonic-Humidifier/dp/B00R7Q3B6U
31,"Crane USA Humidifiers - White Drop Ultrasonic Cool Mist Humidifier - 1 Gallon Adjustable Mist Output, Automatic Shut-off, Whisper-Quiet Operation, for Home Bedroom Office Kids and Baby Nursery",44.99,3.5,46,18,9,10,17,4717,200,www.amazon.com/Crane-USA-Humidifiers-Ultrasonic-Whisper-Quiet/dp/B0046A6WJI
