"","Rank","Price","Price.Rank","Star.Points","Star.Points.Rank","Five.Star.Percentage","Five.Star.Percentage.Rank","Four.Star.Percentage","Four.Star.Percentage.Rank","Three.Star.Percentage","Three.Star.Percentage.Rank","Two.Star.Percentage","Two.Star.Percentage.Rank","One.Star.Percentage","One.Star.Percentage.Rank","Reviews","Reviews.Rank","Questions","Questions.Rank","Price.Indicator","Reviews.Indicator","Questions.Indicator","Star.Variance","Star.Variance.Rank"
"1",1,7.74,5,4.7,72,82,71,11,17.5,4,16.5,1,10,2,20.5,9484,80,87,78,"Low","High","High",0.59,11
"2",2,24.79,56,4.7,72,83,73.5,10,11,3,10.5,1,10,3,33,2393,77,90,79,"High","High","High",0.6939,16.5
"3",3,7.88,7,4.6,60,75,51,14,37,6,32.5,2,18.5,3,33,3672,79,45,69,"Low","High","High",0.8464,26.5
"4",4,6.79,4,4.4,38.5,73,47,12,24,7,39,4,41.5,4,41.5,268,42,4,19,"Low","Low","Low",1.1084,42
"5",5,14.99,32,3.6,5.5,47,5,14,37,11,70.5,11,77,17,76,2381,76,53,71,"Low","High","High",2.4131,77
"6",6,17.89,41,4.3,28.5,66,35,15,46.5,9,51,4,41.5,6,51,2045,75,48,70,"Low","High","High",1.3539,50.5
"7",7,19.89,43,4.8,78,83,73.5,10,11,4,16.5,1,10,2,20.5,833,63,21,49.5,"Low","High","High",0.5859,10
"8",8,13.88,26.5,4.7,72,80,66.5,11,17.5,4,16.5,3,29.5,2,20.5,1279,71,34,60,"Low","High","High",0.7304,21
"9",9,11.99,19.5,4.4,38.5,67,38,14,37,10,62.5,2,18.5,7,57,179,30,20,47,"Low","Low","High",1.3776,52
"10",10,13.62,25,4.4,38.5,69,41.5,18,67.5,6,32.5,3,29.5,4,41.5,1134,69.5,62,74.5,"Low","High","High",1.0275,39.5
"11",11,14.99,32,4.3,28.5,58,14.5,17,60.5,11,70.5,6,57,8,64,1357,72,24,53.5,"Low","High","High",1.6379,64
"12",12,14.99,32,4.6,60,72,45.5,16,54.5,6,32.5,3,29.5,3,33,1545,73,41,66.5,"Low","High","High",0.9099,31
"13",13,9.94,13,4.3,28.5,61,19.5,17,60.5,9,51,7,64.5,6,51,650,59,14,38,"Low","High","Low",1.48,55
"14",14,12.89,21,4.4,38.5,64,28,15,46.5,10,62.5,5,50,6,51,1985,74,31,58.5,"Low","High","High",1.4124,53
"15",15,22.99,54,4.6,60,75,51,14,37,6,32.5,2,18.5,3,33,523,55,21,49.5,"High","High","High",0.8464,26.5
"16",16,45.99,75,4.1,13.5,61,19.5,14,37,10,62.5,7,64.5,8,64,727,62,57,73,"High","High","High",1.6931,67
"17",17,15.25,34,4.4,38.5,68,39.5,16,54.5,9,51,5,50,2,20.5,430,48,16,40.5,"Low","High","High",0.9651,37
"18",18,29.84,63,4.3,28.5,66,35,15,46.5,9,51,4,41.5,6,51,1039,67,42,68,"High","High","High",1.3539,50.5
"19",19,10.39,15.5,4.2,21,66,35,15,46.5,9,51,6,57,4,41.5,251,40,13,36,"Low","Low","Low",1.2411,46.5
"20",20,19.99,45.5,4.4,38.5,63,23.5,15,46.5,8,42,6,57,8,64,954,65,14,38,"Low","High","Low",1.6339,62
"21",21,11.19,17,4.4,38.5,65,31.5,20,77,9,51,3,29.5,3,33,263,41,8,29.5,"Low","Low","Low",0.9619,36
"22",22,34.99,70,4.4,38.5,57,12,19,73.5,11,70.5,6,57,7,57,463,51,20,47,"High","High","High",1.5331,57
"23",23,14.42,28,4.1,13.5,54,7.5,19,73.5,10,62.5,6,57,11,73.5,237,38,28,55.5,"Low","Low","High",1.8699,73
"24",24,30.72,66,4.2,21,60,16.5,17,60.5,10,62.5,5,50,8,64,1041,68,36,61.5,"High","High","High",1.5944,60
"25",25,14.97,30,4.4,38.5,69,41.5,18,67.5,6,32.5,3,29.5,4,41.5,1134,69.5,62,74.5,"Low","High","High",1.0275,39.5
"26",26,7.99,9.5,4.5,48.5,78,62,10,11,6,32.5,3,29.5,3,33,187,32,0,6,"Low","Low","Low",0.9051,29
"27",27,17.65,40,4.6,60,77,59,14,37,6,32.5,1,10,2,20.5,419,45,8,29.5,"Low","High","Low",0.6531,14
"28",28,7.96,8,4.4,38.5,71,43.5,12,24,11,70.5,4,41.5,2,20.5,110,22,0,6,"Low","Low","Low",0.9484,33
"29",29,29.95,64,3.5,3,43,2.5,10,11,10,62.5,11,77,26,80,551,57,31,58.5,"High","High","High",2.8611,80
"30",30,11.99,19.5,4.4,38.5,74,48,14,37,4,16.5,2,18.5,6,51,83,15,4,19,"Low","Low","Low",1.1696,44
"31",31,17,39,4.3,28.5,66,35,15,46.5,9,51,6,57,4,41.5,674,60,16,40.5,"Low","High","High",1.2411,46.5
"32",32,6.05,3,4.1,13.5,56,9.5,19,73.5,11,70.5,7,64.5,7,57,235,37,0,6,"Low","Low","Low",1.57,59
"33",33,11.89,18,4.3,28.5,63,23.5,17,60.5,9,51,4,41.5,7,57,688,61,56,72,"Low","High","High",1.4475,54
"34",34,12.97,22,4.2,21,63,23.5,11,17.5,11,70.5,6,57,8,64,142,24,10,33,"Low","Low","Low",1.675856,66
"35",35,NA,80,4.3,28.5,64,28,18,67.5,9,51,3,29.5,6,51,370,43,28,55.5,NA,"Low","High",1.2939,48
"36",36,24.2,55,4.2,21,57,12,16,54.5,9,51,10,74.5,8,64,203,34,7,26,"High","Low","Low",1.7784,69
"37",37,34,69,4.3,28.5,68,39.5,18,67.5,5,23.5,5,50,4,41.5,238,39,18,45,"High","Low","High",1.1219,43
"38",38,89.99,79,4.5,48.5,66,35,22,79,5,23.5,4,41.5,3,33,233,36,39,64,"High","Low","High",0.9464,32
"39",39,13.27,23,4.5,48.5,77,59,12,24,6,32.5,3,29.5,2,20.5,429,47,24,53.5,"Low","High","High",0.7819,25
"40",40,42.49,74,4.6,60,72,45.5,19,73.5,5,23.5,2,18.5,2,20.5,393,44,23,52,"High","Low","High",0.7051,19
"41",41,36,71,4.6,60,88,78,0,1.5,0,2.5,12,79,0,4.5,8,1,3,14.5,"High","Low","Low",0.9504,35
"42",42,13.88,26.5,4.1,13.5,61,19.5,13,30,10,62.5,7,64.5,9,70,499,53,29,57,"Low","High","High",1.79,70
"43",43,8.45,12,4.9,80,94,80,6,5.5,0,2.5,0,3.5,0,4.5,32,5,0,6,"Low","Low","Low",0.0564,1
"44",44,33.65,68,4.6,60,76,55.5,17,60.5,5,23.5,0,3.5,2,20.5,174,29,37,63,"High","Low","High",0.5675,9
"45",45,9.99,14,4.6,60,80,66.5,6,5.5,10,62.5,3,29.5,1,10.5,105,20,5,22,"Low","Low","Low",0.7379,22
"46",46,19.99,45.5,4.5,48.5,75,51,15,46.5,2,6,4,41.5,4,41.5,163,27,17,43,"Low","Low","High",1.0091,38
"47",47,26.95,61,4.1,13.5,57,12,20,77,6,32.5,9,72,8,64,160,26,11,35,"High","Low","Low",1.7019,68
"48",48,22.95,53,4.7,72,81,69.5,15,46.5,0,2.5,4,41.5,0,4.5,47,9.5,3,14.5,"High","Low","Low",0.4371,6
"49",49,20.02,47,4.6,60,75,51,13,30,5,23.5,2,18.5,5,46.5,2953,78,75,76,"High","High","High",1.0699,41
"50",50,17.99,42,4.1,13.5,64,28,13,30,8,42,8,69,7,57,154,25,8,29.5,"Low","Low","Low",1.6339,63
"51",51,15.54,36,4.8,78,83,73.5,12,24,3,10.5,1,10,1,10.5,493,52,10,33,"Low","High","Low",0.4275,5
"52",52,8.39,11,4.2,21,64,28,11,17.5,16,79,7,64.5,2,20.5,44,7,0,6,"Low","Low","Low",1.1816,45
"53",53,49.95,76,4.7,72,78,62,12,24,5,23.5,3,29.5,2,20.5,875,64,41,66.5,"High","High","High",0.7579,24
"54",54,22.87,52,3.9,7,60,16.5,11,17.5,12,75.5,6,57,11,73.5,534,56,36,61.5,"High","High","High",1.9491,74
"55",55,49.99,77,4.4,38.5,64,28,17,60.5,9,51,4,41.5,6,51,1004,66,105,80,"High","High","High",1.3459,49
"56",56,14.5,29,3.6,5.5,63,23.5,3,3,9,51,11,77,14,75,35,6,0,6,"Low","Low","Low",2.41,76
"57",57,20.36,48,4,8.5,54,7.5,16,54.5,13,77.5,8,69,9,70,631,58,20,47,"High","High","High",1.7996,71
"58",58,15.39,35,4.1,13.5,58,14.5,18,67.5,9,51,10,74.5,5,46.5,90,16,3,14.5,"Low","Low","Low",1.5004,56
"59",59,10.39,15.5,4.5,48.5,75,51,10,11,9,51,4,41.5,2,20.5,52,11,6,24,"Low","Low","Low",0.9096,30
"60",60,21.61,50,3.4,1,46,4,12,24,9,51,13,80,20,79,120,23,3,14.5,"High","Low","Low",2.6299,79
"61",61,4.97,2,4.6,60,78,62,18,67.5,2,6,0,3.5,2,20.5,45,8,0,6,"Low","Low","Low",0.49,8
"62",62,25.99,59.5,4.1,13.5,50,6,25,80,11,70.5,6,57,8,64,64,14,0,6,"High","Low","Low",1.5691,58
"63",63,7.79,6,4.5,48.5,77,59,13,30,4,16.5,3,29.5,3,33,61,12.5,0,6,"Low","Low","Low",0.8636,28
"64",64,15.99,37,4.8,78,93,79,0,1.5,7,39,0,3.5,0,4.5,15,2,4,19,"Low","Low","Low",0.2604,2
"65",65,24.99,57,4.7,72,85,76,10,11,3,10.5,1,10,1,10.5,448,50,17,43,"High","High","High",0.4171,4
"66",66,29.96,65,4.2,21,56,9.5,20,77,8,42,8,69,8,64,188,33,10,33,"High","Low","Low",1.6736,65
"67",67,25.46,58,4,8.5,61,19.5,12,24,12,75.5,5,50,10,72,104,18.5,0,6,"High","Low","Low",1.8219,72
"68",68,20.95,49,4.6,60,87,77,4,4,0,2.5,9,72,0,4.5,23,4,5,22,"High","Low","Low",0.7539,23
"69",69,16.99,38,4.6,60,79,64,8,7,13,77.5,0,3.5,0,4.5,47,9.5,3,14.5,"Low","Low","Low",0.4844,7
"70",70,38.94,72,4.5,48.5,76,55.5,15,46.5,2,6,7,64.5,0,4.5,109,21,8,29.5,"High","Low","Low",0.7,18
"71",71,4.16,1,4.2,21,65,31.5,16,54.5,6,32.5,4,41.5,9,70,93,17,3,14.5,"Low","Low","Low",1.6224,61
"72",72,31.35,67,3.5,3,43,2.5,18,67.5,11,70.5,9,72,19,78,104,18.5,14,38,"High","Low","Low",2.4251,78
