"","Rank","Price","Price.Rank","Star.Points","Star.Points.Rank","Five.Star.Percentage","Five.Star.Percentage.Rank","Four.Star.Percentage","Four.Star.Percentage.Rank","Three.Star.Percentage","Three.Star.Percentage.Rank","Two.Star.Percentage","Two.Star.Percentage.Rank","One.Star.Percentage","One.Star.Percentage.Rank","Reviews","Reviews.Rank","Questions","Questions.Rank","Price.Indicator","Reviews.Indicator","Questions.Indicator","Star.Variance","Star.Variance.Rank"
"1",1,63.74,87,3.7,22.5,51,29.5,17,69,9,78,8,81,15,71,3349,94,806,100,"High","High","High",2.2339,74
"2",2,23.99,28,4.6,84.5,81,83.5,9,23,3,25,2,23,5,29,8266,100,513,99,"Low","High","High",1.0219,26
"3",3,35.99,59,3.7,22.5,46,17.5,20,91,10,85,8,81,16,73.5,4174,95,360,96,"High","High","High",2.2416,75
"4",4,39.99,69.5,4.5,74.5,77,70.5,13,42,3,25,3,34,4,22,98,20,20,23.5,"High","Low","Low",0.9664,21
"5",5,21.99,24,4.5,74.5,74,64,14,52.5,5,47.5,2,23,5,29,3141,92,227,93,"Low","High","High",1.07,28
"6",6,27.99,36.5,4.6,84.5,80,81.5,11,30,3,25,2,23,4,22,3172,93,177,83,"Low","High","High",0.8979,19
"7",7,20.99,20.5,3.9,35,62,46,7,14,6,54.5,7,73,18,86,432,62,55,54.5,"Low","High","High",2.5656,94
"8",8,64.99,88.5,4.4,65,71,59.5,14,52.5,4,37.5,4,45.5,7,40,2015,85.5,258,94.5,"High","High","High",1.3956,40.5
"9",9,15.99,11.5,4.2,53.5,72,61.5,8,18.5,4,37.5,4,45.5,12,59.5,340,52,46,50,"Low","High","Low",1.9424,62
"10",10,41.99,73,4.8,96,89,95.5,7,14,0,4.5,4,45.5,0,3,45,12,20,23.5,"High","Low","Low",0.3939,5
"11",11,49.95,77,4.8,96,89,95.5,8,18.5,1,9.5,0,5,2,12,86,17,14,13,"High","Low","Low",0.4076,7
"12",12,36.47,60,4.2,53.5,57,37.5,14,52.5,6,54.5,7,73,16,73.5,364,57,85,68,"High","High","High",2.3379,81
"13",13,29.99,42,4.5,74.5,78,73.5,10,27,4,37.5,2,23,6,35,518,63,71,62,"Low","High","High",1.1696,33
"14",14,37.99,62.5,4.7,91.5,83,86.5,12,34.5,2,15,1,13.5,2,12,899,73.5,80,65,"High","High","High",0.5371,11.5
"15",15,74.9,92,4.2,53.5,68,56.5,13,42,6,54.5,5,55,8,44,348,54,100,73,"High","High","High",1.5816,46
"16",16,25.99,30.5,4.7,91.5,84,88.5,9,23,2,15,1,13.5,4,22,926,75,88,71,"Low","High","High",0.7976,18
"17",17,49.99,80.5,4.3,59.5,67,54.5,16,66,5,47.5,4,45.5,8,44,1216,80.5,122,80,"High","High","High",1.51,44
"18",18,31.99,48,4.1,47.5,65,50.5,13,42,4,37.5,5,55,13,65,121,24,34,39.5,"Low","Low","Low",2.0456,64
"19",19,18.95,17,4.5,74.5,76,67.5,13,42,4,37.5,3,34,4,22,4318,96,178,84,"Low","High","High",0.9884,23
"20",20,25.99,30.5,4.6,84.5,79,78,14,52.5,3,25,1,13.5,3,16,2848,90.5,187,86.5,"Low","High","High",0.7075,15.5
"21",21,19.99,19,4.6,84.5,79,78,14,52.5,3,25,1,13.5,3,16,2848,90.5,187,86.5,"Low","High","High",0.7075,15.5
"22",22,47.99,76,4.4,65,74,64,13,42,4,37.5,3,34,6,35,705,70,86,70,"High","High","High",1.2284,35
"23",23,64.99,88.5,3.8,27.5,56,35.5,17,69,8,70,6,62.5,13,65,361,56,67,61,"High","High","High",2.0491,65
"24",24,26.99,33.5,4.6,84.5,78,73.5,11,30,4,37.5,3,34,4,22,1216,80.5,133,81,"Low","High","High",0.9864,22
"25",25,17.99,15,5,99,100,99.5,0,2,0,4.5,0,5,0,3,6,1,3,1,"Low","Low","Low",0,1.5
"26",26,39.97,65.5,4.6,84.5,79,78,14,52.5,1,9.5,3,34,3,16,153,32,33,38,"High","Low","Low",0.7931,17
"27",27,14.99,7.5,3.5,10.5,40,9,15,61.5,10,85,12,94.5,23,93.5,588,65,57,57,"Low","High","High",2.6531,97
"28",28,20.99,20.5,4.4,65,79,78,8,18.5,4,37.5,3,34,6,35,237,46,41,46,"Low","Low","Low",1.2299,36
"29",29,24.99,29,4.2,53.5,68,56.5,13,42,5,47.5,4,45.5,10,50.5,826,72,80,65,"Low","High","High",1.7275,51
"30",30,21.99,24,4,43,51,29.5,19,85.5,6,54.5,7,73,17,80,161,34,35,41,"Low","Low","Low",2.34,82
"31",31,44.99,75,3.5,10.5,46,17.5,18,75.5,9,78,10,89.5,17,80,4717,97.5,200,91,"High","High","High",2.3644,85
"32",32,37.99,62.5,4.7,91.5,83,86.5,12,34.5,2,15,1,13.5,2,12,899,73.5,80,65,"High","High","High",0.5371,11.5
"33",33,16.99,13,3.9,35,58,39.5,13,42,7,62.5,5,55,17,80,207,42,34,39.5,"Low","Low","Low",2.37,87
"34",34,34.99,56.5,4.7,91.5,88,94,7,14,2,15,2,23,1,7.5,68,16,17,20,"Low","Low","Low",0.4459,8
"35",35,49.99,80.5,5,99,100,99.5,0,2,0,4.5,0,5,0,3,15,3,9,8.5,"High","Low","Low",0,1.5
"36",36,21.99,24,4.5,74.5,78,73.5,11,30,3,25,2,23,6,35,126,28,38,45,"Low","Low","Low",1.1491,32
"37",37,69.99,91,4.4,65,71,59.5,14,52.5,4,37.5,4,45.5,7,40,2015,85.5,258,94.5,"High","High","High",1.3956,40.5
"38",38,42.68,74,3.5,10.5,46,17.5,18,75.5,9,78,10,89.5,17,80,4717,97.5,200,91,"High","High","High",2.3644,85
"39",39,15.99,11.5,3.9,35,57,37.5,16,66,7,62.5,7,73,13,65,270,48,52,52,"Low","Low","High",2.0891,68
"40",40,109.99,96,4.1,47.5,61,44.5,18,75.5,6,54.5,9,84.5,6,35,403,60,104,76,"High","High","High",1.5339,45
"41",41,27.95,35,4,43,59,41.5,23,94.5,8,70,4,45.5,6,35,385,58,56,56,"Low","High","High",1.3075,39
"42",42,29.99,42,3.9,35,64,48,16,66,6,54.5,6,62.5,8,44,201,41,30,35,"Low","Low","Low",1.6116,47
"43",43,29.99,42,5,99,97,98,3,5,0,4.5,0,5,0,3,31,9,7,4,"Low","Low","Low",0.0291,3
"44",44,19.95,18,4.1,47.5,64,48,15,61.5,6,54.5,5,55,10,50.5,689,68,85,68,"Low","High","High",1.7676,52
"45",45,33.99,53,4.3,59.5,59,41.5,27,99,6,54.5,4,45.5,4,22,52,14,15,15,"Low","Low","Low",1.0611,27
"46",46,7.89,1,3.7,22.5,47,23,13,42,14,98,13,98,13,65,166,36,17,20,"Low","Low","Low",2.1976,73
"47",47,31.99,48,3.7,22.5,47,23,18,75.5,9,78,10,89.5,16,73.5,1083,78,103,75,"Low","High","High",2.31,78
"48",48,29.99,42,4.5,74.5,82,85,7,14,3,25,2,23,6,35,952,76,120,79,"Low","High","High",1.1451,30
"49",49,17.99,15,4.5,74.5,76,67.5,12,34.5,4,37.5,3,34,5,29,694,69,49,51,"Low","High","Low",1.1099,29
"50",50,126.51,99,3.9,35,46,17.5,24,97,12,95,7,73,11,54.5,2794,88.5,416,97.5,"High","High","High",1.8331,55.5
"51",51,35.06,58,3.7,22.5,44,12,17,69,8,70,12,94.5,19,88.5,529,64,85,68,"High","High","High",2.5075,91
"52",52,29.95,38,3.8,27.5,49,26,19,85.5,8,70,7,73,17,80,2079,87,185,85,"Low","High","High",2.3224,79
"53",53,29.99,42,4.2,53.5,66,52.5,14,52.5,8,70,2,23,10,50.5,117,23,26,31.5,"Low","Low","Low",1.6624,48
"54",54,12.99,6,3.9,35,29,3,57,100,7,62.5,0,5,7,40,14,2,8,6,"Low","Low","Low",0.9899,25
"55",55,68.62,90,3.3,5,37,7,22,92.5,11,90,13,98,17,80,963,77,193,89,"High","High","High",2.2699,77
"56",56,138.68,100,3.9,35,49,26,23,94.5,11,90,6,62.5,11,54.5,660,67,192,88,"High","High","High",1.8251,54
"57",57,97.69,94,3.6,17,46,17.5,19,85.5,9,78,6,62.5,20,90.5,165,35,44,47.5,"High","Low","Low",2.4675,90
"58",58,39.99,69.5,4,43,60,43,15,61.5,9,78,4,45.5,12,59.5,281,49,59,59.5,"High","Low","High",1.9251,61
"59",59,39.99,69.5,4.5,74.5,70,58,18,75.5,12,95,0,5,0,3,17,4,8,6,"High","Low","Low",0.4836,9
"60",60,31.99,48,3.6,17,45,13,19,85.5,10,85,9,84.5,17,80,781,71,100,73,"Low","High","High",2.3244,80
"61",61,22.99,27,4.7,91.5,85,90.5,9,23,3,25,2,23,1,7.5,142,31,36,42.5,"Low","Low","Low",0.4875,10
"62",62,99.99,95,3.9,35,46,17.5,24,97,12,95,7,73,11,54.5,2794,88.5,416,97.5,"High","High","High",1.8331,55.5
"63",63,15.26,9,3.5,10.5,34,6,19,85.5,12,95,10,89.5,25,95.5,358,55,32,37,"Low","High","Low",2.5771,95
"64",64,12.98,4.5,1.8,1.5,11,1.5,5,8.5,7,62.5,12,94.5,65,99.5,124,26.5,13,11.5,"Low","Low","Low",1.8875,57.5
"65",65,38.49,64,3.5,10.5,46,17.5,18,75.5,9,78,10,89.5,17,80,4720,99,200,91,"High","High","High",2.3644,85
"66",66,62.04,86,3.9,35,49,26,24,97,11,90,7,73,9,47.5,96,19,26,31.5,"High","Low","Low",1.6891,50
"67",67,36.99,61,4.5,74.5,78,73.5,12,34.5,3,25,3,34,4,22,1376,83,119,78,"High","High","High",0.9651,20
"68",68,31.99,48,4.6,84.5,87,93,8,18.5,3,25,1,13.5,1,7.5,139,30,9,8.5,"Low","Low","Low",0.4059,6
"69",69,39.99,69.5,3.8,27.5,58,39.5,15,61.5,7,62.5,6,62.5,14,69,614,66,76,63,"High","High","High",2.1491,71
"70",70,84.95,93,4,43,56,35.5,18,75.5,8,70,7,73,11,54.5,188,38,58,58,"High","Low","High",1.9099,59
"71",71,12.97,3,4.3,59.5,76,67.5,5,8.5,4,37.5,3,34,12,59.5,180,37,59,59.5,"Low","Low","High",1.91,60
"72",72,21.72,22,3.5,10.5,41,10,18,75.5,12,95,9,84.5,20,90.5,1410,84,137,82,"Low","High","High",2.4499,89
"73",73,27.99,36.5,4.4,65,81,83.5,9,23,0,4.5,5,55,5,29,21,5,16,17.5,"Low","Low","Low",1.1464,31
"74",74,33.99,53,4.2,53.5,72,61.5,14,52.5,0,4.5,4,45.5,10,50.5,29,7,10,10,"Low","Low","Low",1.6644,49
"75",75,33.99,53,4.1,47.5,64,48,13,42,5,47.5,5,55,13,65,311,50,45,49,"Low","High","Low",2.05,66
"76",76,31.99,48,4.7,91.5,86,92,5,8.5,5,47.5,2,23,2,12,42,11,8,6,"Low","Low","Low",0.6659,14
"77",77,39.97,65.5,3.9,35,53,31,19,85.5,9,78,5,55,14,69,99,21,21,26,"High","Low","Low",2.0736,67
"78",78,32.99,51,3.6,17,65,50.5,7,14,4,37.5,6,62.5,18,86,160,33,20,23.5,"Low","Low","Low",2.5475,93
"79",79,39.99,69.5,4.3,59.5,76,67.5,10,27,3,25,3,34,8,44,127,29,37,44,"High","Low","Low",1.4451,43
"80",80,12.98,4.5,1.8,1.5,11,1.5,5,8.5,7,62.5,12,94.5,65,99.5,124,26.5,13,11.5,"Low","Low","Low",1.8875,57.5
"81",81,9.39,2,3.8,27.5,55,33.5,12,34.5,11,90,10,89.5,12,59.5,226,44,24,30,"Low","Low","Low",2.1256,69
"82",82,49.99,80.5,3.5,10.5,33,5,18,75.5,9,78,17,100,23,93.5,235,45,29,33.5,"High","Low","Low",2.5459,92
"83",83,26.87,32,3.7,22.5,43,11,19,85.5,17,100,9,84.5,12,59.5,217,43,22,27.5,"Low","Low","Low",1.9616,63
"84",84,49.99,80.5,3.9,35,54,32,18,75.5,7,62.5,7,73,14,69,1224,82,100,73,"High","High","High",2.1419,70
"85",85,17.99,15,4.5,74.5,80,81.5,12,34.5,0,4.5,0,5,8,44,25,6,5,3,"Low","Low","Low",1.2064,34
"86",86,34.99,56.5,4.2,53.5,61,44.5,19,85.5,11,90,4,45.5,5,29,198,39,44,47.5,"Low","Low","Low",1.2571,37
"87",87,15.36,10,4.6,84.5,79,78,15,61.5,2,15,2,23,2,12,400,59,22,27.5,"Low","High","Low",0.6211,13
"88",88,51.99,84,4.4,65,77,70.5,6,11,5,47.5,8,81,4,22,100,22,31,36,"High","Low","Low",1.3064,38
"89",89,14.99,7.5,4.4,65,74,64,15,61.5,4,37.5,3,34,4,22,413,61,23,29,"Low","High","Low",0.9896,24
"90",90,49.99,80.5,4,43,67,54.5,10,27,2,15,4,45.5,17,80,58,15,16,17.5,"High","Low","Low",2.3764,88
"91",91,49.99,80.5,4.8,96,93,97,3,5,2,15,1,13.5,1,7.5,95,18,15,15,"High","Low","Low",0.3404,4
"92",92,29.99,42,3.4,6,47,23,14,52.5,10,85,7,73,22,92,320,51,29,33.5,"Low","High","Low",2.6451,96
"93",93,29.99,42,3.6,17,46,17.5,19,85.5,10,85,7,73,18,86,1094,79,108,77,"Low","High","High",2.3576,83
"94",94,58.99,85,4.5,74.5,84,88.5,0,2,0,4.5,0,5,16,73.5,31,9,4,2,"High","Low","Low",2.1504,72
"95",95,22.59,26,4.2,53.5,66,52.5,14,52.5,8,70,0,5,12,59.5,50,13,36,42.5,"Low","Low","Low",1.7716,53
"96",96,26.99,33.5,4.5,74.5,85,90.5,3,5,2,15,1,13.5,9,47.5,254,47,20,23.5,"Low","Low","Low",1.4284,42
"97",97,34.95,55,3.1,3.5,50,28,14,52.5,2,15,6,62.5,28,97,123,25,15,15,"Low","Low","Low",3.0496,100
"98",98,39.99,69.5,3.5,10.5,55,33.5,9,23,4,37.5,7,73,25,95.5,200,40,55,54.5,"High","Low","High",2.9756,99
"99",99,118.88,98,3.1,3.5,32,4,19,85.5,7,62.5,13,98,29,98,31,9,17,20,"High","Low","Low",2.7456,98
"100",100,118.24,97,3.6,17,38,8,22,92.5,15,99,6,62.5,19,88.5,347,53,54,53,"High","High","High",2.2684,76
