year,zip_code,age_group,number_of_visits,age_adjusted_rate,county_fips_code,county
2012,"90001
(33.973271508000494, -118.24896959899968)",AllAges,433,76.2,6037,LOS ANGELES
2012,"90001
(33.973271508000494, -118.24896959899968)",Children (0-17),221,108.6,6037,LOS ANGELES
2012,"90001
(33.973271508000494, -118.24896959899968)",Adults (18+),212,64.9,6037,LOS ANGELES
2012,"90002
(33.94895251300045, -118.24697958699971)",AllAges,438,78.2,6037,LOS ANGELES
2012,"90002
(33.94895251300045, -118.24697958699971)",Children (0-17),215,113.3,6037,LOS ANGELES
2012,"90002
(33.94895251300045, -118.24697958699971)",Adults (18+),223,66,6037,LOS ANGELES
2012,"90003
(33.96335186100049, -118.27393599999971)",AllAges,559,80.7,6037,LOS ANGELES
2012,"90003
(33.96335186100049, -118.27393599999971)",Children (0-17),295,125.2,6037,LOS ANGELES
2012,"90003
(33.96335186100049, -118.27393599999971)",Adults (18+),264,65.2,6037,LOS ANGELES
2012,"90004
(34.07572239300049, -118.30301712299968)",AllAges,365,63.2,6037,LOS ANGELES
2012,"90004
(34.07572239300049, -118.30301712299968)",Children (0-17),179,134,6037,LOS ANGELES
2012,"90004
(34.07572239300049, -118.30301712299968)",Adults (18+),186,38.6,6037,LOS ANGELES
2012,"90005
(34.05907233200048, -118.30301712299968)",AllAges,132,36.9,6037,LOS ANGELES
2012,"90005
(34.05907233200048, -118.30301712299968)",Children (0-17),73,87.4,6037,LOS ANGELES
2012,"90005
(34.05907233200048, -118.30301712299968)",Adults (18+),59,19.3,6037,LOS ANGELES
2012,"90006
(34.05010424100044, -118.2926890439997)",AllAges,269,46.6,6037,LOS ANGELES
2012,"90006
(34.05010424100044, -118.2926890439997)",Children (0-17),144,98.2,6037,LOS ANGELES
2012,"90006
(34.05010424100044, -118.2926890439997)",Adults (18+),125,28.7,6037,LOS ANGELES
2012,"90007
(34.02833141800045, -118.28507659499968)",AllAges,210,73.3,6037,LOS ANGELES
2012,"90007
(34.02833141800045, -118.28507659499968)",Children (0-17),101,145.2,6037,LOS ANGELES
2012,"90007
(34.02833141800045, -118.28507659499968)",Adults (18+),109,48.3,6037,LOS ANGELES
2012,"90008
(34.01097312100046, -118.34158773599972)",AllAges,338,111.1,6037,LOS ANGELES
2012,"90008
(34.01097312100046, -118.34158773599972)",Children (0-17),126,176.4,6037,LOS ANGELES
2012,"90008
(34.01097312100046, -118.34158773599972)",Adults (18+),212,88.4,6037,LOS ANGELES
2012,"90011
(34.00790120200048, -118.25903697699971)",AllAges,583,54.9,6037,LOS ANGELES
2012,"90011
(34.00790120200048, -118.25903697699971)",Children (0-17),336,88.2,6037,LOS ANGELES
2012,"90011
(34.00790120200048, -118.25903697699971)",Adults (18+),247,43.3,6037,LOS ANGELES
2012,"90012
(34.059480762000476, -118.24204800599972)",AllAges,71,26,6037,LOS ANGELES
2012,"90012
(34.059480762000476, -118.24204800599972)",Children (0-17),15,46.6,6037,LOS ANGELES
2012,"90012
(34.059480762000476, -118.24204800599972)",Adults (18+),56,18.9,6037,LOS ANGELES
2012,"90013
(34.04726260700045, -118.24609754999972)",AllAges,147,112.4,6037,LOS ANGELES
2012,"90013
(34.04726260700045, -118.24609754999972)",Children (0-17),,,6037,LOS ANGELES
2012,"90013
(34.04726260700045, -118.24609754999972)",Adults (18+),140,105.9,6037,LOS ANGELES
2012,"90014
(34.04475119400047, -118.2527367189997)",AllAges,72,129.2,6037,LOS ANGELES
2012,"90014
(34.04475119400047, -118.2527367189997)",Children (0-17),,,6037,LOS ANGELES
2012,"90014
(34.04475119400047, -118.2527367189997)",Adults (18+),66,100,6037,LOS ANGELES
2012,"90015
(34.04012376300045, -118.26498963499972)",AllAges,125,72.4,6037,LOS ANGELES
2012,"90015
(34.04012376300045, -118.26498963499972)",Children (0-17),59,143.7,6037,LOS ANGELES
2012,"90015
(34.04012376300045, -118.26498963499972)",Adults (18+),66,47.7,6037,LOS ANGELES
2012,"90016
(34.02888323300044, -118.35308896599969)",AllAges,386,81.3,6037,LOS ANGELES
2012,"90016
(34.02888323300044, -118.35308896599969)",Children (0-17),157,130.1,6037,LOS ANGELES
2012,"90016
(34.02888323300044, -118.35308896599969)",Adults (18+),229,64.3,6037,LOS ANGELES
2012,"90017
(34.05230281300044, -118.26338632799968)",AllAges,127,58.1,6037,LOS ANGELES
2012,"90017
(34.05230281300044, -118.26338632799968)",Children (0-17),70,118.9,6037,LOS ANGELES
2012,"90017
(34.05230281300044, -118.26338632799968)",Adults (18+),57,36.9,6037,LOS ANGELES
2012,"90018
(34.03077331100047, -118.31686899999971)",AllAges,433,83.8,6037,LOS ANGELES
2012,"90018
(34.03077331100047, -118.31686899999971)",Children (0-17),192,144.4,6037,LOS ANGELES
2012,"90018
(34.03077331100047, -118.31686899999971)",Adults (18+),241,62.7,6037,LOS ANGELES
2012,"90019
(34.04884418900048, -118.33610868499972)",AllAges,368,60.1,6037,LOS ANGELES
2012,"90019
(34.04884418900048, -118.33610868499972)",Children (0-17),147,107.1,6037,LOS ANGELES
2012,"90019
(34.04884418900048, -118.33610868499972)",Adults (18+),221,43.7,6037,LOS ANGELES
2012,"90020
(34.06636325100044, -118.30164844599972)",AllAges,146,42.5,6037,LOS ANGELES
2012,"90020
(34.06636325100044, -118.30164844599972)",Children (0-17),72,95.5,6037,LOS ANGELES
2012,"90020
(34.06636325100044, -118.30164844599972)",Adults (18+),74,24.2,6037,LOS ANGELES
2012,"90021
(34.03012156000045, -118.24177861599969)",AllAges,47,221.4,6037,LOS ANGELES
2012,"90021
(34.03012156000045, -118.24177861599969)",Children (0-17),,,6037,LOS ANGELES
2012,"90021
(34.03012156000045, -118.24177861599969)",Adults (18+),38,190.3,6037,LOS ANGELES
2012,"90022
(34.023543222000455, -118.15512616999968)",AllAges,344,51,6037,LOS ANGELES
2012,"90022
(34.023543222000455, -118.15512616999968)",Children (0-17),146,71.1,6037,LOS ANGELES
2012,"90022
(34.023543222000455, -118.15512616999968)",Adults (18+),198,44.1,6037,LOS ANGELES
2012,"90023
(34.02418193800048, -118.20195663999971)",AllAges,285,56.5,6037,LOS ANGELES
2012,"90023
(34.02418193800048, -118.20195663999971)",Children (0-17),158,104.1,6037,LOS ANGELES
2012,"90023
(34.02418193800048, -118.20195663999971)",Adults (18+),127,40,6037,LOS ANGELES
2012,"90024
(34.06136215000049, -118.4402367409997)",AllAges,52,15.5,6037,LOS ANGELES
2012,"90024
(34.06136215000049, -118.4402367409997)",Children (0-17),,,6037,LOS ANGELES
2012,"90024
(34.06136215000049, -118.4402367409997)",Adults (18+),43,12.1,6037,LOS ANGELES
2012,"92282
(33.92169194800044, -116.65472625099972)",Children (0-17),,,6065,RIVERSIDE
2012,"90025
(34.04518134900047, -118.45025632399972)",AllAges,73,20.8,6037,LOS ANGELES
2012,"90025
(34.04518134900047, -118.45025632399972)",Children (0-17),21,38.1,6037,LOS ANGELES
2012,"90025
(34.04518134900047, -118.45025632399972)",Adults (18+),52,14.8,6037,LOS ANGELES
2012,"90026
(34.07687382000046, -118.26535895999967)",AllAges,293,46.9,6037,LOS ANGELES
2012,"90026
(34.07687382000046, -118.26535895999967)",Children (0-17),128,91.6,6037,LOS ANGELES
2012,"90026
(34.07687382000046, -118.26535895999967)",Adults (18+),165,31.4,6037,LOS ANGELES
2012,"90027
(34.10546395500046, -118.2923675139997)",AllAges,190,49.2,6037,LOS ANGELES
2012,"90027
(34.10546395500046, -118.2923675139997)",Children (0-17),46,80.1,6037,LOS ANGELES
2012,"90027
(34.10546395500046, -118.2923675139997)",Adults (18+),144,38.4,6037,LOS ANGELES
2012,"90028
(34.10072355400047, -118.32821815499972)",AllAges,167,71.3,6037,LOS ANGELES
